cliente_id,nome,sexo,idade,cidade,estado,tipo_cliente
50,Isaac Jesus,F,55,Porto de Goiás,MS,Oficina
51,Dr. Anthony das Neves,F,52,Moraes Grande,GO,Oficina
52,Laura Cardoso,F,62,Monteiro de Minas,AP,Consumidor Final
53,Lívia Pires,M,24,Souza Alegre,AC,Consumidor Final
54,Igor Vieira,F,28,Rezende de Rezende,SC,Consumidor Final
55,Stella Viana,M,54,da Paz de Teixeira,DF,Concessionária
56,Murilo da Cunha,F,66,da Rocha da Serra,PI,Oficina
57,Theo Silveira,F,24,Rezende,MS,Oficina
58,Emanuelly da Mota,F,32,Pires do Norte,AP,Consumidor Final
59,Alana Santos,M,46,Rocha,AC,Oficina
60,Sr. Vinicius Jesus,F,67,Monteiro da Praia,MA,Consumidor Final
61,Benjamin Gonçalves,M,40,Almeida do Norte,AC,Concessionária
62,Beatriz Freitas,F,24,Dias,RS,Oficina
63,Bernardo Farias,M,25,Ferreira,GO,Consumidor Final
64,Juan Ramos,M,40,Teixeira,AL,Oficina
65,Bernardo Pires,F,68,Fogaça,RN,Oficina
66,Marina Vieira,F,40,Cavalcanti das Pedras,SE,Oficina
67,Eduardo Monteiro,F,64,da Luz,GO,Consumidor Final
68,Giovanna Cardoso,F,22,da Paz Verde,TO,Oficina
69,Diego da Paz,M,19,Pinto,TO,Consumidor Final
70,João Pedro Oliveira,M,61,Pinto dos Dourados,RR,Consumidor Final
71,Renan Cardoso,M,51,Costa,MT,Oficina
72,Davi Lucca Azevedo,M,39,Barbosa,BA,Consumidor Final
73,Pietro Vieira,F,32,Farias,CE,Consumidor Final
74,Ana Laura Rocha,M,29,Moraes,RJ,Consumidor Final
75,Sra. Maria Sophia Cardoso,F,43,Santos,BA,Oficina
76,Maria Fernanda Lima,M,46,Nascimento Paulista,PR,Consumidor Final
77,Luna Viana,F,18,Moura do Campo,PR,Consumidor Final
78,Fernanda Almeida,M,35,Barbosa do Amparo,GO,Consumidor Final
79,Vitória Fernandes,M,54,Melo,PB,Oficina
80,João Guilherme da Conceição,M,41,Mendes,PB,Oficina
81,Sr. João Gonçalves,F,25,da Mota da Mata,MA,Oficina
82,Sra. Juliana da Rocha,F,51,Barbosa das Flores,RN,Concessionária
83,Leandro Souza,F,56,Peixoto,AL,Oficina
84,Felipe Ferreira,F,55,Souza do Galho,BA,Oficina
85,Sra. Brenda Freitas,F,72,Oliveira Grande,GO,Oficina
86,Ana Sophia Gonçalves,M,70,Moraes Verde,DF,Consumidor Final
87,Sr. Francisco da Luz,F,57,Almeida,RO,Consumidor Final
88,Yago Pires,M,38,Almeida de Freitas,MG,Oficina
89,Emanuel Ribeiro,F,25,Pires,GO,Oficina
90,Julia Barbosa,M,50,Dias de Minas,ES,Oficina
91,Sra. Elisa Ribeiro,M,54,Aragão,ES,Oficina
92,Maria Duarte,M,49,Rezende,TO,Consumidor Final
93,Bianca da Paz,M,53,Azevedo,PE,Oficina
94,Ian Ribeiro,F,26,Martins dos Dourados,RR,Oficina
95,João Miguel Teixeira,F,57,da Rosa,SP,Oficina
96,Ana Silva,F,18,Caldeira de da Mota,SC,Oficina
97,Luiz Gustavo da Luz,M,70,Cardoso das Flores,SC,Oficina
98,Olivia Viana,F,44,da Mata,CE,Consumidor Final
99,Cauê Correia,F,63,Mendes,ES,Consumidor Final
100,Sabrina Costela,F,28,da Luz,RJ,Oficina
101,Sr. Luiz Fernando Pinto,M,68,da Mota de Cardoso,CE,Consumidor Final
102,Sra. Mariane Viana,F,20,Cardoso dos Dourados,RR,Oficina
103,Sabrina Costa,F,28,Aragão,MS,Consumidor Final
104,Nicole Oliveira,F,53,Santos,PB,Consumidor Final
105,Paulo Lima,M,35,Costela,AL,Consumidor Final
106,Maria Fernanda Lima,F,52,Melo,SE,Consumidor Final
107,Gabriela Correia,M,66,Peixoto dos Dourados,MS,Consumidor Final
108,Gustavo Fogaça,M,45,Lima de Lima,BA,Oficina
109,Luna da Mota,M,37,Novaes,SC,Consumidor Final
110,Dr. Noah Porto,M,46,Rodrigues,RN,Oficina
111,Isabella Cardoso,M,46,Ribeiro das Flores,MA,Consumidor Final
112,Juliana Correia,M,67,Almeida de Minas,CE,Consumidor Final
113,Dr. Davi Lucca Caldeira,M,69,Gomes de da Costa,PI,Consumidor Final
114,Laura Rezende,F,73,Moura,PI,Consumidor Final
115,Melissa Alves,F,28,Ribeiro,RO,Consumidor Final
116,Guilherme Moura,M,70,Cardoso,PA,Oficina
117,Fernando Nunes,M,54,da Cunha,PE,Oficina
118,Sr. Pedro Miguel da Rosa,F,56,Ferreira de Barbosa,TO,Consumidor Final
119,Srta. Camila Fogaça,F,63,Fernandes do Norte,RR,Oficina
120,Elisa Martins,F,72,da Mata,AL,Consumidor Final
121,Davi Lucas Almeida,M,26,da Cunha Alegre,CE,Concessionária
122,Samuel Castro,F,21,Rodrigues do Sul,MT,Concessionária
123,Júlia Campos,M,62,Duarte,TO,Consumidor Final
124,Cauã Silveira,M,27,Barros,MA,Consumidor Final
125,Clara Farias,M,66,Pinto de Goiás,MG,Consumidor Final
126,Lorenzo Pereira,F,49,Costela de da Mota,TO,Oficina
127,Emanuel Cardoso,F,58,Fogaça de Goiás,RR,Oficina
128,Isabelly Gonçalves,F,22,Araújo de Pinto,SE,Consumidor Final
129,Pietro Moura,M,43,Dias,GO,Consumidor Final
130,Maitê Gonçalves,F,62,Pinto de Peixoto,MG,Concessionária
131,Luiz Felipe Mendes,F,47,Ferreira,CE,Concessionária
132,André Pinto,F,55,Duarte do Oeste,MS,Oficina
133,Thomas Farias,M,64,Ribeiro,MS,Concessionária
134,Maria Cecília Novaes,F,72,Freitas,RJ,Oficina
135,Ana Beatriz Mendes,F,31,Rodrigues,ES,Concessionária
136,Bryan Cardoso,M,49,Aragão,RJ,Oficina
137,Nina das Neves,F,39,Moura da Mata,AP,Consumidor Final
138,Lorena Lima,M,54,da Conceição,ES,Consumidor Final
139,Sr. Vitor Nogueira,F,75,Barbosa Alegre,RO,Consumidor Final
140,Ana Carolina Novaes,M,20,Cavalcanti do Sul,GO,Oficina
141,Luana Caldeira,F,19,Mendes,RR,Oficina
142,Benjamin Novaes,M,46,Carvalho Grande,AL,Oficina
143,Larissa Aragão,F,30,Ramos,MT,Concessionária
144,Marcelo Viana,M,74,Cardoso,AM,Consumidor Final
145,Juan Correia,M,73,Pereira,AL,Concessionária
146,Srta. Camila Caldeira,F,23,da Mata,SC,Consumidor Final
147,Enzo Gabriel Silva,F,23,Cunha de Fernandes,BA,Oficina
148,Yago Freitas,M,21,Gonçalves,PB,Oficina
149,Stephany Rodrigues,F,64,Correia de Pereira,AC,Consumidor Final
150,Vitor Gabriel Monteiro,M,45,Ramos de Nogueira,PE,Consumidor Final
151,Anthony Duarte,M,18,Oliveira da Prata,RN,Oficina
152,Juan Cunha,M,26,Nogueira do Norte,RN,Consumidor Final
153,Bianca Rezende,F,18,Rezende,SC,Oficina
154,Antônio Cardoso,F,70,Alves das Pedras,AC,Oficina
155,André Cunha,F,62,da Rocha das Flores,PA,Oficina
156,Erick da Luz,M,32,das Neves de Moreira,RS,Oficina
157,Beatriz Rodrigues,M,24,Fernandes,PE,Oficina
158,Pietra Barros,F,26,Farias,MS,Oficina
159,Diego Almeida,M,59,da Mata,RO,Concessionária
160,Sofia das Neves,M,22,da Rocha de da Luz,GO,Consumidor Final
161,Maria Luiza das Neves,M,57,Carvalho,AC,Consumidor Final
162,Emilly Sales,F,40,Jesus Paulista,GO,Consumidor Final
163,Dr. Marcelo Freitas,M,44,Fogaça do Galho,RR,Consumidor Final
164,Pedro Miguel Moura,F,73,Cardoso do Campo,RS,Oficina
165,Anthony Farias,M,26,da Rocha,AM,Consumidor Final
166,Nicole Souza,F,40,Fogaça da Serra,RN,Concessionária
167,Lara Rezende,F,68,Fernandes,RO,Oficina
168,Nathan Freitas,F,59,Pires,ES,Oficina
169,Esther Costa,F,67,Freitas Verde,MG,Concessionária
170,Fernanda Teixeira,M,72,Campos,MT,Consumidor Final
171,André Barros,F,31,Moraes,TO,Consumidor Final
172,Pedro Novaes,M,65,Santos da Prata,PE,Oficina
173,Isabel Mendes,M,68,Cardoso de Pires,RR,Consumidor Final
174,Julia Nascimento,M,49,Duarte de Monteiro,SP,Oficina
175,Maria Vitória Azevedo,M,49,Barbosa,GO,Consumidor Final
176,João Guilherme Gomes,M,51,Freitas de Minas,RS,Consumidor Final
177,Ana Carolina Porto,M,41,Azevedo,SE,Concessionária
178,Luiz Felipe Pires,M,42,Alves do Amparo,CE,Consumidor Final
179,Alexandre Santos,F,41,Lima,SP,Consumidor Final
180,Gustavo Henrique Costela,M,66,Alves,AM,Oficina
181,Joaquim Mendes,M,19,Jesus,PR,Consumidor Final
182,Dra. Sofia Araújo,M,34,da Mota,RS,Oficina
183,Camila Vieira,M,68,Lopes,RN,Oficina
184,Lucas Ramos,F,58,Nascimento de Goiás,MG,Consumidor Final
185,Brenda da Rocha,F,45,Viana,PB,Consumidor Final
186,Ana Beatriz Martins,M,58,Silveira dos Dourados,RJ,Consumidor Final
187,Ana Oliveira,M,35,Araújo de Ramos,PB,Oficina
188,Agatha Moreira,M,50,Gonçalves,CE,Concessionária
189,Dr. Leandro Rocha,M,52,Silveira,PE,Oficina
190,Igor Sales,M,37,Silveira de da Mota,PI,Consumidor Final
191,Levi da Costa,M,21,Rocha,DF,Oficina
192,Theo Mendes,F,25,Barros de Moura,MG,Oficina
193,Srta. Esther da Paz,M,37,Ferreira de da Mota,PE,Consumidor Final
194,Fernando Santos,M,25,Ramos,DF,Oficina
195,Emanuel Gonçalves,M,62,Silveira,SE,Oficina
196,Maria Julia da Paz,F,40,Souza do Sul,GO,Consumidor Final
197,Srta. Maria Clara Cavalcanti,F,28,da Cunha da Prata,TO,Oficina
198,Esther Rodrigues,F,64,da Mota,CE,Consumidor Final
199,Dr. Emanuel Ferreira,M,39,Ribeiro,PB,Consumidor Final
200,Nina Souza,F,51,Pereira,PI,Oficina
201,Maria Fernanda Ribeiro,M,49,Moraes das Pedras,PA,Oficina
202,Maria Clara Porto,F,21,Cavalcanti da Praia,RN,Oficina
203,Cauã Campos,M,41,Costela do Sul,AM,Oficina
204,Maria Dias,M,75,Gomes da Serra,AM,Consumidor Final
205,Pedro Lucas Castro,M,32,Mendes de Cardoso,PB,Consumidor Final
206,Julia Nunes,M,20,Duarte,BA,Consumidor Final
207,Elisa Vieira,M,33,Pires de Moura,RR,Oficina
208,Srta. Stella Souza,F,42,Freitas,MS,Concessionária
209,Stella das Neves,M,72,Teixeira,BA,Oficina
210,Rebeca Azevedo,F,32,Caldeira,SE,Oficina
211,Ana Laura Nunes,F,64,Peixoto,PA,Oficina
212,Alícia Dias,M,54,Freitas de Rezende,PB,Oficina
213,Ryan Oliveira,M,29,da Paz Grande,RJ,Oficina
214,Ana Beatriz Nogueira,M,43,Moraes,MS,Oficina
215,Stephany Novaes,F,73,Nunes do Campo,RN,Oficina
216,Laura Lopes,F,38,Fernandes dos Dourados,RR,Oficina
217,Pietra da Cruz,F,18,Nunes,MS,Oficina
218,Giovanna Silva,F,54,da Conceição Grande,ES,Consumidor Final
219,Joaquim Silva,M,47,Rezende,SE,Oficina
220,Laís Campos,F,67,Santos da Serra,MS,Consumidor Final
221,Davi Lucas Silva,M,27,Teixeira Paulista,PA,Oficina
222,Luiz Gustavo Fernandes,F,19,Freitas do Norte,AM,Oficina
223,Ana Vitória Moraes,F,58,Costela da Prata,PB,Consumidor Final
224,Thales da Luz,M,39,Azevedo da Serra,PA,Oficina
225,Sophie Lopes,F,72,Moraes de Goiás,RS,Consumidor Final
226,João Vitor Barbosa,F,24,Nunes,MG,Oficina
227,Luigi Freitas,M,44,Correia Verde,AP,Oficina
228,Juan da Mata,M,27,Costela,MT,Consumidor Final
229,Clarice Azevedo,M,20,Moreira do Norte,RN,Concessionária
230,Sra. Gabrielly Pires,F,62,Alves,SC,Consumidor Final
231,Ana Beatriz Souza,F,65,Moura,RJ,Oficina
232,Camila da Rocha,M,50,da Costa Grande,SC,Oficina
233,João Pedro Teixeira,F,22,Santos,ES,Consumidor Final
234,João Miguel Mendes,M,45,Vieira das Pedras,BA,Consumidor Final
235,Fernando Freitas,M,33,Cardoso,AL,Oficina
236,Luana Teixeira,F,69,Silva,RN,Oficina
237,Felipe Moreira,F,38,Cardoso,SP,Oficina
238,Levi Moraes,M,22,Nascimento,SE,Concessionária
239,Dr. João Vitor da Cunha,M,67,da Cruz do Amparo,BA,Consumidor Final
240,Dr. João Guilherme Porto,M,27,Viana,BA,Oficina
241,Vitor Hugo da Conceição,F,47,Moreira de Araújo,RN,Oficina
242,Isabel da Cruz,M,52,Barros de Cardoso,RN,Oficina
243,Francisco da Conceição,M,46,Dias,TO,Oficina
244,Isaac Azevedo,F,72,Fernandes do Galho,MA,Oficina
245,Gabrielly Freitas,M,69,Almeida da Praia,RS,Consumidor Final
246,Gabriel Nascimento,M,31,Dias de Minas,PB,Consumidor Final
247,Gabriel Santos,F,27,Cavalcanti Alegre,SC,Oficina
248,Ian Ramos,M,40,Farias,PB,Oficina
249,Isabelly Ferreira,M,61,Carvalho da Praia,BA,Oficina
250,Alexandre Teixeira,M,19,Ribeiro de Goiás,RR,Concessionária
251,Dra. Rafaela Rocha,F,53,Cunha,CE,Consumidor Final
252,Nina Rezende,M,24,Novaes dos Dourados,RO,Oficina
253,Dra. Agatha Caldeira,M,25,Caldeira dos Dourados,ES,Oficina
254,João Pedro da Rosa,M,26,Cardoso,PI,Oficina
255,Isabella Nunes,F,41,Cardoso,RN,Consumidor Final
256,Kamilly Dias,M,55,Souza,RR,Consumidor Final
257,Nathan Ribeiro,M,19,Jesus,MS,Concessionária
258,Arthur Porto,M,75,Cardoso das Flores,DF,Consumidor Final
259,Sabrina Martins,M,23,Correia,PA,Concessionária
260,Sofia Nogueira,F,25,Carvalho,PA,Oficina
261,Agatha Barros,F,21,Silva,PE,Oficina
262,Sra. Rafaela Aragão,F,70,Lima,MT,Consumidor Final
263,Luiz Otávio Pereira,F,19,Ramos,RS,Oficina
264,Enzo da Rocha,F,29,Costela,RJ,Oficina
265,Sr. Rafael Costa,M,35,Moraes do Campo,MT,Oficina
266,Enzo Gabriel Jesus,M,20,Campos,PE,Consumidor Final
267,Maria Vitória Correia,M,59,Correia do Oeste,MA,Oficina
268,Calebe Castro,F,74,Cardoso de Silveira,SP,Consumidor Final
269,Maysa Costela,M,23,Freitas Verde,PR,Oficina
270,Srta. Maria Ferreira,M,44,Araújo Verde,RR,Oficina
271,Sr. Fernando Barros,M,58,Ramos de Lima,PI,Concessionária
272,Alexia Melo,M,42,da Luz dos Dourados,PB,Consumidor Final
273,Alice Azevedo,F,48,Silva de Ferreira,MT,Consumidor Final
274,João Lucas Novaes,F,40,Moreira de Fogaça,MS,Concessionária
275,Ana Lívia Cardoso,F,42,Farias do Campo,RR,Oficina
276,Maysa Pires,M,38,da Rocha da Serra,CE,Consumidor Final
277,Heitor Pereira,M,75,Gonçalves,RN,Consumidor Final
278,Nathan Cunha,F,21,Gonçalves de Goiás,AL,Consumidor Final
279,Renan Pires,F,51,da Conceição de Campos,RN,Oficina
280,Danilo Nascimento,M,28,Nogueira do Campo,PA,Oficina
281,Alexandre Moura,M,35,Barros da Prata,RO,Consumidor Final
282,Stephany Caldeira,M,66,Aragão,CE,Concessionária
283,Sr. Raul Novaes,M,54,Novaes,PB,Consumidor Final
284,Nicole Teixeira,F,40,Silveira Paulista,PR,Concessionária
285,Kamilly da Luz,M,29,Ferreira,AL,Oficina
286,Maria Cecília Martins,F,69,da Cunha da Praia,AM,Consumidor Final
287,Luigi Souza,F,55,da Mota de Fogaça,ES,Oficina
288,Dra. Helena Araújo,F,54,Rezende do Sul,MA,Consumidor Final
289,Sra. Giovanna Farias,M,71,da Paz de Almeida,AC,Concessionária
290,Caroline Ribeiro,F,52,Jesus de Freitas,RJ,Oficina
291,Benjamin Gomes,F,20,Cardoso de da Mota,RO,Oficina
292,Matheus Nunes,M,56,Santos de da Conceição,MG,Oficina
293,Carlos Eduardo Lopes,F,18,Ribeiro de Fogaça,SP,Oficina
294,Dr. Luiz Fernando Aragão,M,69,Mendes,MG,Oficina
295,Milena Nogueira,M,69,Cardoso Alegre,AC,Consumidor Final
296,Nicole Caldeira,F,21,da Luz da Mata,TO,Oficina
297,Davi Luiz Monteiro,M,67,Carvalho,PI,Oficina
298,Stephany Melo,F,22,da Paz do Amparo,AC,Oficina
299,Sr. Breno Novaes,F,55,Barros de Costa,BA,Oficina
300,Levi Alves,F,38,Silva,CE,Oficina
301,Nicolas Nunes,M,64,Martins de Minas,AM,Concessionária
302,Emilly Cardoso,F,59,Barros de Moura,MA,Oficina
303,Ana Beatriz Pires,F,32,da Conceição das Pedras,AM,Consumidor Final
304,Bárbara Costela,M,42,da Rosa,CE,Oficina
305,Matheus Duarte,F,26,Moraes,CE,Oficina
306,Dra. Ana Julia da Rosa,M,62,da Rosa de Duarte,GO,Concessionária
307,Ana Júlia Freitas,F,72,da Rocha,PR,Concessionária
308,Bianca Jesus,M,29,Teixeira de Souza,PA,Consumidor Final
309,Yasmin Dias,M,58,Correia dos Dourados,SP,Consumidor Final
310,Vitor Gabriel Peixoto,F,27,Silveira,AC,Oficina
311,Sofia Rodrigues,M,33,Jesus,PA,Oficina
312,Sr. João Miguel Freitas,F,28,Nogueira do Oeste,SC,Consumidor Final
313,Maria Vitória Vieira,M,70,Ribeiro,PB,Consumidor Final
314,Maria Fernanda Azevedo,F,46,Lopes,PI,Oficina
315,Erick Carvalho,M,33,Sales Paulista,RO,Consumidor Final
316,Beatriz Lima,F,34,Lima das Flores,BA,Consumidor Final
317,Bárbara Cavalcanti,M,21,Farias,MA,Oficina
318,Melissa Pinto,F,28,da Luz,RJ,Consumidor Final
319,Felipe Silva,F,74,Ferreira,AM,Oficina
320,Olivia Moraes,F,24,Nogueira,RN,Consumidor Final
321,Luiz Miguel Fogaça,M,28,Oliveira de Teixeira,SP,Oficina
322,Srta. Evelyn Duarte,M,36,da Mata,RR,Oficina
323,Alexia Lima,F,24,Fernandes de Mendes,MG,Oficina
324,Igor Pereira,M,74,da Mota do Amparo,DF,Oficina
325,Henrique Viana,M,53,da Cunha,RJ,Concessionária
326,Daniela Gomes,M,39,Correia de da Luz,PI,Consumidor Final
327,Sarah Vieira,F,63,Melo do Oeste,BA,Oficina
328,Levi Correia,M,56,Costa,AL,Consumidor Final
329,Alana Ribeiro,M,21,Farias do Galho,MS,Oficina
330,Ian Barros,M,30,Martins das Pedras,MS,Oficina
331,Enrico Novaes,F,60,Fogaça,BA,Oficina
332,Bianca Nunes,M,24,Melo,PR,Oficina
333,Dr. Davi Lucas Ribeiro,F,27,Ribeiro,MA,Oficina
334,Ana Júlia Duarte,M,45,Santos,AP,Oficina
335,Rodrigo da Rocha,F,30,Aragão de Fernandes,PI,Oficina
336,Bryan da Mata,M,28,Vieira do Amparo,MS,Consumidor Final
337,João Felipe Teixeira,M,48,Fernandes de Santos,PB,Consumidor Final
338,Nathan da Mata,F,68,Oliveira do Amparo,AP,Oficina
339,Ana Luiza da Mata,F,75,da Luz,AL,Consumidor Final
340,Marina Moraes,M,59,Castro de Monteiro,RJ,Consumidor Final
341,Maria Cecília Barros,M,41,Silva de Minas,RO,Consumidor Final
342,Amanda Nunes,F,29,Aragão de Cardoso,RO,Oficina
343,Caroline Monteiro,F,46,da Luz,SC,Oficina
344,Davi das Neves,M,71,Fernandes das Flores,BA,Oficina
345,Amanda da Rocha,M,27,da Rocha do Sul,RN,Consumidor Final
346,Marcelo Lopes,M,23,Rodrigues de Araújo,CE,Consumidor Final
347,Julia Farias,F,66,Mendes,MG,Consumidor Final
348,Ian Correia,M,71,Peixoto,AM,Oficina
349,João Pedro Rezende,F,52,Azevedo das Pedras,RN,Consumidor Final
350,Samuel Duarte,F,54,Pires,SP,Consumidor Final
351,Lucas Gabriel Silveira,F,37,Ramos do Campo,RO,Oficina
352,Diogo Costa,M,50,Moraes,MA,Consumidor Final
353,Fernanda da Conceição,M,25,da Mota da Mata,PA,Concessionária
354,Enzo Gabriel Martins,F,29,Campos Paulista,BA,Concessionária
355,Luiz Felipe das Neves,M,31,Lopes da Serra,PE,Consumidor Final
356,Ana Vitória Pereira,M,20,Cardoso,PE,Oficina
357,Thiago Vieira,F,30,Moura,GO,Concessionária
358,Daniela Lima,M,71,da Rocha da Serra,SE,Consumidor Final
359,Lucca da Conceição,F,64,Caldeira de Minas,CE,Concessionária
360,Ana Vitória Vieira,M,23,Silveira de Aragão,PI,Oficina
361,Noah Nascimento,F,53,Farias,RJ,Oficina
362,Sarah Pinto,F,51,Freitas,PE,Oficina
363,Bárbara da Rosa,M,68,Castro do Norte,SE,Consumidor Final
364,Maria Vitória Cavalcanti,F,25,Pinto de Gomes,RO,Oficina
365,Guilherme Campos,M,54,Ribeiro,RS,Consumidor Final
366,Bryan Nogueira,M,24,Teixeira,SE,Consumidor Final
367,Melissa Ferreira,M,68,Azevedo das Flores,MS,Oficina
368,Sra. Luiza Oliveira,F,74,Vieira,SE,Oficina
369,Carolina Costa,F,59,Monteiro,SP,Oficina
370,Nathan Barros,F,20,Pinto da Praia,CE,Oficina
371,Lucas Pereira,F,27,Pinto,GO,Consumidor Final
372,Fernanda Cardoso,F,20,Oliveira Grande,BA,Oficina
373,Pedro Henrique Moraes,F,62,Carvalho,RN,Oficina
374,Augusto Rodrigues,F,35,Barros,PE,Consumidor Final
375,Yuri Rezende,M,39,da Luz,PI,Consumidor Final
376,Otávio da Paz,F,37,Cavalcanti da Prata,RR,Oficina
377,João Guilherme Melo,F,72,Pereira de Costela,RN,Consumidor Final
378,Pietra Costela,M,73,Cunha do Galho,DF,Oficina
379,Vitor Hugo Cunha,F,65,Jesus,GO,Oficina
380,Dr. Marcos Vinicius Cunha,F,35,da Rosa Verde,GO,Consumidor Final
381,Emanuella Barros,M,30,Fernandes do Campo,PR,Oficina
382,Mariane Freitas,F,65,Caldeira,TO,Oficina
383,Leandro Aragão,F,70,Carvalho de Lopes,SE,Oficina
384,Maria Luiza Pinto,M,22,da Costa,AC,Oficina
385,Sarah Pires,F,26,Cardoso do Campo,AL,Consumidor Final
386,Eduarda Ramos,M,29,Aragão,MA,Oficina
387,Sr. Igor da Conceição,M,71,Ramos,SP,Oficina
388,Caroline Cardoso,M,47,Melo das Pedras,MS,Oficina
389,Arthur Cardoso,F,63,Oliveira do Norte,RO,Oficina
390,Gustavo Costela,F,70,Moreira de Goiás,AM,Oficina
391,Fernanda das Neves,F,58,Oliveira,RN,Concessionária
392,Thiago Fogaça,M,33,Teixeira da Prata,PI,Oficina
393,Maria Julia Cavalcanti,F,29,Nogueira Paulista,TO,Concessionária
394,Yago Alves,F,55,Ferreira,AM,Consumidor Final
395,Maria Julia Correia,F,28,Silveira de Novaes,MS,Consumidor Final
396,Lucas Sales,F,65,Costela da Mata,PB,Consumidor Final
397,Fernanda das Neves,M,36,Santos,ES,Oficina
398,Dra. Bruna Moraes,M,28,Campos,MA,Consumidor Final
399,Rebeca Moreira,M,72,Pires,PE,Oficina
400,Sr. Caio Rodrigues,M,61,Lima,DF,Oficina
401,Lara Cardoso,F,50,Freitas,RR,Oficina
402,Caio Moraes,M,48,Rodrigues,MG,Concessionária
403,Samuel da Luz,M,56,Melo da Praia,GO,Consumidor Final
404,Letícia Novaes,M,34,Nascimento Grande,PA,Consumidor Final
405,João Miguel Monteiro,F,63,Teixeira,GO,Concessionária
406,Lucas Gabriel da Mota,F,45,Pinto do Galho,PR,Consumidor Final
407,Yuri Novaes,F,47,Campos de Nogueira,PR,Oficina
408,Mariana Pereira,F,37,Viana de Jesus,SC,Consumidor Final
409,Sr. Breno Costa,F,55,Dias do Campo,AC,Oficina
410,Theo Rezende,F,53,Viana,RJ,Consumidor Final
411,Vinicius Costela,F,37,Cunha,SE,Consumidor Final
412,Gustavo da Conceição,F,22,da Rocha Grande,AP,Oficina
413,Dr. Caio Aragão,F,58,Ribeiro dos Dourados,PB,Oficina
414,Srta. Ana Júlia Nogueira,F,34,Alves do Galho,SC,Consumidor Final
415,Thomas Campos,F,30,da Paz,MT,Oficina
416,Mariane Caldeira,M,75,Farias do Galho,MS,Oficina
417,Maria Alice Carvalho,F,60,Farias das Pedras,AL,Oficina
418,Murilo Peixoto,M,64,da Cruz de Minas,RR,Oficina
419,Luiz Fernando Rezende,F,36,Rodrigues da Serra,MT,Oficina
